	channel_key	cdn_dns	origin_segments	num_lambdas
38	samsung_bloomberg_bloombergtv_1_it_cf	E2F4JG9WFNV33P	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
39	samsung_bloomberg_bloombergtv_1_gb_cf	E187SGQWGSYOTQ	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
40	samsung_bloomberg_bloombergtv_1_fr_cf	E2U2AGAKITN8N8	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
41	samsung_bloomberg_bloombergtv_1_es_cf	E3PN70OI53BXQG	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
42	samsung_bloomberg_bloombergtv_1_de_sec_cf	E8Z6BSJKSA0OZ	https://4k4waev22vwzmr.data.mediastore.us-east-1.amazonaws.com	7.0
43	samsung_bloomberg_bloombergtv_1_de_cf	E26SPQ139N2AGB	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
44	samsung_bloomberg_bloombergtv_1_ch_cf	E3SU8GKV5YH6ZR	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
45	samsung_bloomberg_bloombergtv_1_cf	E1PZB88S4GA6BF	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
46	samsung_bloomberg_bloombergtv_1_at_cf	E8PBOAV6BZLIM	https://xohpo2wlkbhami.data.mediastore.us-west-2.amazonaws.com	2.0
47	samsung_ausbiztv_ausbiz_1_nz_cf	E1M1ZEVYGKYIVS	https://ioslc7ikfnobzt.data.mediastore.ap-southeast-2.amazonaws.com	7.0
48	samsung_ausbiztv_ausbiz_1_au_cf	E2BL4FSTZNYHY3	https://ioslc7ikfnobzt.data.mediastore.ap-southeast-2.amazonaws.com	7.0
49	samsung_aenetworks_tinyhousenation_1_us_logo_cf	E3PWK8O0TDHU89	https://6ygrdmzoqpt4vw.data.mediastore.us-east-1.amazonaws.com	7.0
